Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
172032,1,1,3,259.196,1,2688,7,3,64,49152,172032,1,0.0348841,1024,1,4352,32,6,96,Tesla C2050,4,12,1,259.196,194,8,12,0,384,1,2817720320,7,0,20,6,32,2,1,0.0349531,1000,0,192,16,200,1,14,
229376,1,1,3,261.47,1,3584,7,3,64,49152,229376,1,0.0345795,1024,1,5440,24,6,96,Tesla C2050,4,12,1,261.47,194,8,10,0,512,1,2817720320,7,0,20,8,32,2,1,0.0346491,1000,0,192,16,200,1,14,
114688,1,1,3,258.413,1,1792,7,3,64,49152,114688,1,0.0349893,1024,1,3264,96,6,48,Tesla C2050,4,12,1,258.413,194,8,16,0,256,1,2817720320,7,0,20,2,32,4,1,0.035059,1000,0,192,16,200,1,14,
229376,1,1,3,261.448,1,3584,7,3,64,49152,229376,1,0.0345873,1024,1,4896,48,6,48,Tesla C2050,4,12,1,261.448,194,8,11,0,512,1,2817720320,7,0,20,4,32,4,1,0.034652,1000,0,192,16,200,1,14,
344064,1,1,3,266.524,1,5376,7,3,64,49152,344064,1,0.0339222,1024,1,6528,32,6,48,Tesla C2050,4,12,1,266.524,194,8,8,0,768,1,2817720320,7,0,20,6,32,4,1,0.0339921,1000,0,192,16,200,1,14,
458752,1,1,3,198.595,1,7168,7,3,64,49152,458752,1,0.0455517,1024,1,8160,24,6,48,Tesla C2050,4,12,1,198.595,194,8,7,0,1024,1,2817720320,7,0,20,8,32,4,1,0.045619,1000,0,192,16,200,1,14,
172032,1,1,3,258.751,1,2688,7,3,64,49152,172032,1,0.0349496,1024,1,4352,96,6,32,Tesla C2050,4,12,1,258.751,194,8,12,0,384,1,2817720320,7,0,20,2,32,6,1,0.0350132,1000,0,192,16,200,1,14,
344064,1,1,3,264.432,1,5376,7,3,64,49152,344064,1,0.0341913,1024,1,6528,48,6,32,Tesla C2050,4,12,1,264.432,194,8,8,0,768,1,2817720320,7,0,20,4,32,6,1,0.034261,1000,0,192,16,200,1,14,
229376,1,1,3,261.455,1,3584,7,3,64,49152,229376,1,0.0345775,1024,1,5440,96,6,24,Tesla C2050,4,12,1,261.455,194,8,10,0,512,1,2817720320,7,0,20,2,32,8,1,0.034651,1000,0,192,16,200,1,14,
458752,1,1,3,198.673,1,7168,7,3,64,49152,458752,1,0.0455302,1024,1,8160,48,6,24,Tesla C2050,4,12,1,198.673,194,8,7,0,1024,1,2817720320,7,0,20,4,32,8,1,0.0456011,1000,0,192,16,200,1,14,
57344,1,1,3,201.716,1,896,7,3,64,49152,10752,2,0.262639,1024,2,1440,99,33,99,Tesla C2050,4,12,1,37.8217,202,8,35,128,128,2,2817720320,7,0,20,4,8,4,0.1875,0.262703,1000,896,198,32,200,1,14,
