fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,shared_stores,
8097356.187500,1,1,15360,26.6007,58.4507,1434727.125000,3840,5,2,5,0,0.433008,64,3696,1,103,1000,58,6,309680.812500,4,14,1,0,6008,6960,2304,768,4,8104940.687500,5,1,64,12,0.453125,0.433071,1000,11520,6000,1,
7180549.937500,1,1,15360,14.2823,60.3285,2800348.687500,3840,5,2,5,0,0.806532,64,3920,1,66,3000,90,2,552345.562500,4,14,1,0,6008,3600,2304,768,4,7186893.125000,5,1,96,8,0.234375,0.806592,1000,11520,6000,1,
7634010.312500,1,1,19200,18.4401,48.6818,1739614.625000,4800,5,2,5,0,0.624649,64,4704,1,66,1500,90,4,355785.562500,4,14,1,0,6008,7200,2880,960,4,7639104.250000,5,1,96,10,0.375,0.624726,1000,14400,6000,1,
7106753.312500,1,1,20480,12.0584,50.42,2770438.250000,5120,5,2,5,0,0.955301,64,5200,1,49,3000,122,2,546899.812500,4,14,1,0,6008,4880,3072,1024,4,7116340.937500,5,1,128,8,0.238281,0.955354,1000,15360,6000,1,
7839169.076923,1,1,8000,10.134,67.5599,4050588.538462,1600,5,2,5,0,1.13672,64,1632,1,250,3000,24,2,1242374.000000,4,14,1,0,6010,1200,1280,320,5,7851861.307692,5,1,32,10,0.15,1.13677,1000,6400,6000,1,
8718824.692308,1,1,9600,16.7946,67.1786,2434256.769231,1920,5,2,5,0,0.685875,64,1904,1,250,1500,24,4,741162.769231,4,14,1,0,6010,2400,1536,384,5,8727760.923077,5,1,32,12,0.25,0.685933,1000,7680,6000,1,
7482386.153846,1,1,16000,10.896,62.1798,3716790.923077,3200,5,2,5,0,1.05722,64,3168,1,107,3000,56,2,812464.384615,4,14,1,0,6010,2800,2560,640,5,7494721.461538,5,1,64,10,0.175,1.05727,1000,12800,6000,1,
8354420.076923,1,1,19200,18.0775,61.8974,2237644.076923,3840,5,2,5,0,0.6372,64,3696,1,107,1500,56,4,479622.769231,4,14,1,0,6010,5600,3072,768,5,8362143.153846,5,1,64,12,0.291667,0.637256,1000,15360,6000,1,
7337404.461538,1,1,24000,9.59252,52.1833,3588116.846154,4800,5,2,5,0,1.20089,64,4704,1,68,3000,88,2,728764.846154,4,14,1,0,6010,4400,3840,960,5,7350887.307692,5,1,96,10,0.183333,1.20094,1000,19200,6000,1,
7609826.818182,1,1,11520,8.05798,70.1367,5362674.000000,1920,5,2,5,0,1.42959,64,1904,1,272,3000,22,2,1550215.727273,4,14,1,0,6012,1320,1920,384,6,7628168.818182,5,1,32,12,0.114583,1.42964,1000,9600,6000,1,
