Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
2752512,6,1,2,101.983,1,43008,27,3,64,49152,1003520,0,0.127467,1024,3,35360,35,5,7,Tesla C2050,4,22,1,37.1814,146,8,2,12288,6144,3,2817720320,27,0,27,8,32,4,0.364583,0.127527,1000,86016,140,312,200,1,14,
344064,6,1,2,62.2629,1,5376,27,3,64,49152,10752,0,6.89388,1024,4,5600,99,99,33,Tesla C2050,4,22,1,1.94572,206,8,9,2304,768,4,2817720320,27,0,27,8,8,2,0.03125,6.89382,1000,16128,198,312,200,1,14,
688128,6,1,2,53.556,1,10752,27,3,64,49152,32256,0,5.3431,1024,4,10400,99,99,11,Tesla C2050,4,22,1,2.51044,206,8,5,4608,1536,4,2817720320,27,0,27,8,8,4,0.046875,5.34306,1000,32256,198,312,200,1,14,
1032192,6,1,2,52.136,1,16128,27,3,64,49152,53760,0,3.7113,1024,4,15200,90,90,6,Tesla C2050,4,22,1,2.71542,188,8,4,6912,2304,4,2817720320,27,0,27,8,8,6,0.0520833,3.71129,1000,48384,180,312,200,1,14,
1376256,6,1,2,52.6424,1,21504,27,3,64,49152,75264,0,2.84608,1024,4,20000,84,84,4,Tesla C2050,4,22,1,2.87888,176,8,3,9216,3072,4,2817720320,27,0,27,8,8,8,0.0546875,2.84608,1000,64512,168,312,200,1,14,
688128,6,1,2,90.8888,1,10752,27,3,64,49152,53760,0,1.41922,1024,4,10080,90,18,30,Tesla C2050,4,22,1,7.10068,188,8,5,4608,1536,4,2817720320,27,0,27,8,16,2,0.078125,1.41926,1000,32256,180,312,200,1,14,
1376256,6,1,2,90.0992,1,21504,27,3,64,49152,161280,0,0.954413,1024,4,18720,90,18,10,Tesla C2050,4,22,1,10.5585,188,8,3,9216,3072,4,2817720320,27,0,27,8,16,4,0.117188,0.954463,1000,64512,180,312,200,1,14,
2064384,6,1,2,91.9978,1,32256,27,3,64,49152,268800,0,0.841234,1024,4,27360,90,18,6,Tesla C2050,4,22,1,11.9789,188,8,2,13824,4608,4,2817720320,27,0,27,8,16,6,0.130208,0.841289,1000,96768,180,312,200,1,14,
1032192,6,1,2,100.413,1,16128,27,3,64,49152,96768,0,1.42483,1024,4,14560,99,11,33,Tesla C2050,4,22,1,9.41374,206,8,4,6912,2304,4,2817720320,27,0,27,8,24,2,0.09375,1.42488,1000,48384,198,312,200,1,14,
2064384,6,1,2,103.731,1,32256,27,3,64,49152,290304,0,0.919478,1024,4,27040,99,11,11,Tesla C2050,4,22,1,14.5872,206,8,2,13824,4608,4,2817720320,27,0,27,8,24,4,0.140625,0.919533,1000,96768,198,312,200,1,14,
1376256,6,1,2,154.168,1,21504,27,3,64,49152,139776,0,0.418912,1024,4,19040,78,6,26,Tesla C2050,4,22,1,15.6577,164,8,3,9216,3072,4,2817720320,27,0,27,8,32,2,0.101562,0.418976,1000,64512,156,312,200,1,14,
100352,7,1,2,13.7088,1,1568,27,3,64,49152,100352,0,0.597609,1024,1,2560,84,21,12,Tesla C2050,4,20,1,13.7088,170,8,20,0,224,1,2817720320,27,0,27,2,8,2,1,0.597683,1000,0,168,182,200,1,14,
200704,7,1,2,12.6087,1,3136,27,3,64,49152,200704,0,0.649773,1024,1,3840,42,21,12,Tesla C2050,4,22,1,12.6087,170,8,13,0,448,1,2817720320,27,0,27,4,8,2,1,0.649834,1000,0,168,182,200,1,14,
301056,7,1,2,12.4177,1,4704,27,3,64,49152,301056,0,0.659771,1024,1,5120,28,21,12,Tesla C2050,4,20,1,12.4177,170,8,10,0,672,1,2817720320,27,0,27,6,8,2,1,0.659829,1000,0,168,182,200,1,14,
401408,7,1,2,12.064,1,6272,27,3,64,49152,401408,0,0.679121,1024,1,6400,21,21,12,Tesla C2050,4,22,1,12.064,170,8,8,0,896,1,2817720320,27,0,27,8,8,2,1,0.679175,1000,0,168,182,200,1,14,
200704,7,1,2,12.1803,1,3136,27,3,64,49152,200704,0,0.672628,1024,1,4800,84,21,6,Tesla C2050,4,20,1,12.1803,170,8,11,0,448,1,2817720320,27,0,27,2,8,4,1,0.672686,1000,0,168,182,200,1,14,
401408,7,1,2,12.0617,1,6272,27,3,64,49152,401408,0,0.679236,1024,1,7200,42,21,6,Tesla C2050,4,22,1,12.0617,170,8,7,0,896,1,2817720320,27,0,27,4,8,4,1,0.679301,1000,0,168,182,200,1,14,
602112,7,1,2,12.0572,1,9408,27,3,64,49152,602112,0,0.6795,1024,1,9600,28,21,6,Tesla C2050,4,20,1,12.0572,170,8,6,0,1344,1,2817720320,27,0,27,6,8,4,1,0.679557,1000,0,168,182,200,1,14,
802816,7,1,2,12.0204,1,12544,27,3,64,49152,802816,0,0.681585,1024,1,12000,21,21,6,Tesla C2050,4,22,1,12.0204,170,8,5,0,1792,1,2817720320,27,0,27,8,8,4,1,0.681639,1000,0,168,182,200,1,14,
301056,7,1,2,11.7761,1,4704,27,3,64,49152,301056,0,0.695708,1024,1,7040,84,21,4,Tesla C2050,4,20,1,11.7761,170,8,7,0,672,1,2817720320,27,0,27,2,8,6,1,0.695776,1000,0,168,182,200,1,14,
602112,7,1,2,11.8252,1,9408,27,3,64,49152,602112,0,0.692827,1024,1,10560,42,21,4,Tesla C2050,4,22,1,11.8252,170,8,5,0,1344,1,2817720320,27,0,27,4,8,6,1,0.692886,1000,0,168,182,200,1,14,
