Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,shared_stores,
1,1,9600,41.0337,72.9488,3200,5,2,5,0,0,0.28068,64,3168,1,100,1000,Tesla C2050,60,6,4,9,1,3,6006,5400,1280,640,3,5,1,64,10,0.5625,0.280745,1000,6400,6000,10,1,
1,1,11520,45.5626,72.9001,3840,5,2,5,0,0,0.25277,64,3696,1,100,750,Tesla C2050,60,8,4,9,1,3,6006,7200,1536,768,3,5,1,64,12,0.625,0.252839,1000,7680,6000,10,1,
1,1,8640,23.1536,72.2392,2880,5,2,5,0,0,0.497482,64,3136,1,65,3000,Tesla C2050,92,2,4,9,1,3,6006,2760,1152,576,3,5,1,96,6,0.319444,0.497547,1000,5760,6000,10,1,
1,1,11520,35.046,72.8956,3840,5,2,5,0,0,0.328649,64,3920,1,65,1500,Tesla C2050,92,4,4,9,1,3,6006,5520,1536,768,3,5,1,96,8,0.479167,0.328711,1000,7680,6000,10,1,
1,1,14400,34.932,60.5489,4800,5,2,5,0,0,0.329718,64,4704,1,65,1000,Tesla C2050,92,6,4,9,1,3,6006,8280,1920,960,3,5,1,96,10,0.575,0.329783,1000,9600,6000,10,1,
1,1,11520,23.7384,72.9243,3840,5,2,5,0,0,0.485227,64,4160,1,48,3000,Tesla C2050,124,2,4,9,1,3,6006,3720,1536,768,3,5,1,128,6,0.322917,0.48529,1000,7680,6000,10,1,
1,1,15360,29.2373,59.878,5120,5,2,5,0,0,0.393956,64,5200,1,48,1500,Tesla C2050,124,4,4,9,1,3,6006,7440,2048,1024,3,5,1,128,8,0.484375,0.394017,1000,10240,6000,10,1,
1,1,5120,15.6396,76.7384,1280,5,2,5,0,0,0.736526,64,1360,1,230,3000,Tesla C2050,26,2,4,9,1,3,6008,1040,768,256,4,5,1,32,8,0.203125,0.736591,1000,3840,6000,10,1,
1,1,6400,25.0578,76.8439,1600,5,2,5,0,0,0.459674,64,1632,1,230,1500,Tesla C2050,26,4,4,9,1,3,6008,2080,960,320,4,5,1,32,10,0.325,0.459737,1000,4800,6000,10,1,
1,1,7680,31.3023,76.795,1920,5,2,5,0,0,0.36796,64,1904,1,230,1000,Tesla C2050,26,6,4,9,1,3,6008,3120,1152,384,4,5,1,32,12,0.40625,0.368024,1000,5760,6000,10,1,
1,1,10240,17.4358,76.6247,2560,5,2,5,0,0,0.660643,64,2640,1,103,3000,Tesla C2050,58,2,4,9,1,3,6008,2320,1536,512,4,5,1,64,8,0.226562,0.660708,1000,7680,6000,10,1,
1,1,12800,26.7164,73.381,3200,5,2,5,0,0,0.431132,64,3168,1,103,1500,Tesla C2050,58,4,4,9,1,3,6008,4640,1920,640,4,5,1,64,10,0.3625,0.431196,1000,9600,6000,10,1,
1,1,15360,33.9973,74.7035,3840,5,2,5,0,0,0.338788,64,3696,1,103,1000,Tesla C2050,58,6,4,9,1,3,6008,6960,2304,768,4,5,1,64,12,0.453125,0.33885,1000,11520,6000,10,1,
1,1,15360,17.641,74.5154,3840,5,2,5,0,0,0.65296,64,3920,1,66,3000,Tesla C2050,90,2,4,9,1,3,6008,3600,2304,768,4,5,1,96,8,0.234375,0.653026,1000,11520,6000,10,1,
1,1,19200,23.0284,60.795,4800,5,2,5,0,0,0.500187,64,4704,1,66,1500,Tesla C2050,90,4,4,9,1,3,6008,7200,2880,960,4,5,1,96,10,0.375,0.500252,1000,14400,6000,10,1,
1,1,20480,14.8433,62.0648,5120,5,2,5,0,0,0.776043,64,5200,1,49,3000,Tesla C2050,122,2,4,9,1,3,6008,4880,3072,1024,4,5,1,128,8,0.238281,0.776108,1000,15360,6000,10,1,
1,1,8000,11.6082,77.3882,1600,5,2,5,0,0,0.992336,64,1632,1,250,3000,Tesla C2050,24,2,4,9,1,3,6010,1200,1280,320,5,5,1,32,10,0.15,0.992399,1000,6400,6000,10,1,
