Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
129024,1835661.484375,1,1,0,56.1448,1145952.125000,1,2016,27,3,64,49152,129024,0.217778,1024,1,3328,32,8,96,99797.000000,4,20,1,56.1448,194,8,15,0,288,1,2817720320,27,0,27,6,24,2,1,0.21784,1000,0,1835997.890625,192,200,1,14,
172032,1781459.140625,1,1,0,56.6887,1143456.062500,1,2688,27,3,64,49152,172032,0.215683,1024,1,4160,24,8,96,102003.156250,4,20,1,56.6887,194,8,12,0,384,1,2817720320,27,0,27,8,24,2,1,0.21575,1000,0,1781864.734375,192,200,1,14,
86016,2112086.843750,1,1,0,62.0511,1125117.609375,1,1344,27,3,64,49152,86016,0.197042,1024,1,2496,96,8,48,122518.562500,4,20,1,62.0511,194,8,20,0,192,1,2817720320,27,0,27,2,24,4,1,0.197105,1000,0,2113109.750000,192,200,1,14,
172032,1946269.296875,1,1,0,58.0849,1158231.328125,1,2688,27,3,64,49152,172032,0.210491,1024,1,3744,48,8,48,87199.000000,4,20,1,58.0849,194,8,14,0,384,1,2817720320,27,0,27,4,24,4,1,0.210564,1000,0,1946790.218750,192,200,1,14,
258048,1839102.156250,1,1,0,58.2044,1150705.828125,1,4032,27,3,64,49152,258048,0.210062,1024,1,4992,32,8,48,94931.937500,4,20,1,58.2044,194,8,10,0,576,1,2817720320,27,0,27,6,24,4,1,0.210132,1000,0,1839607.921875,192,200,1,14,
344064,1788527.734375,1,1,0,57.1045,1125750.281250,1,5376,27,3,64,49152,344064,0.214105,1024,1,6240,24,8,48,120115.265625,4,20,1,57.1045,194,8,8,0,768,1,2817720320,27,0,27,8,24,4,1,0.214179,1000,0,1788842.140625,192,200,1,14,
129024,2113420.156250,1,1,0,60.3509,1141076.734375,1,2016,27,3,64,49152,129024,0.202596,1024,1,3328,96,8,32,106125.453125,4,20,1,60.3509,194,8,15,0,288,1,2817720320,27,0,27,2,24,6,1,0.202658,1000,0,2114505.281250,192,200,1,14,
258048,1948891.734375,1,1,0,57.5755,1145550.062500,1,4032,27,3,64,49152,258048,0.212355,1024,1,4992,48,8,32,100642.984375,4,20,1,57.5755,194,8,10,0,576,1,2817720320,27,0,27,4,24,6,1,0.212427,1000,0,1949338.468750,192,200,1,14,
387072,1846119.531250,1,1,0,48.3558,1102591.562500,1,6048,27,3,64,49152,387072,0.25286,1024,1,6656,32,8,32,143544.484375,4,20,1,48.3558,194,8,8,0,864,1,2817720320,27,0,27,6,24,6,1,0.252929,1000,0,1846733.640625,192,200,1,14,
172032,2116202.953125,1,1,0,57.8041,1144153.250000,1,2688,27,3,64,49152,172032,0.211517,1024,1,4160,96,8,24,101507.921875,4,20,1,57.8041,194,8,12,0,384,1,2817720320,27,0,27,2,24,8,1,0.211587,1000,0,2116574.531250,192,200,1,14,
