fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
10518671.437500,1,1,45056,91.124,182.734,1414602.343750,3072,13,2,13,0,1.06189,64,9360,1,47,3000,126,2,498637.250000,4,17,1,0,6004,22176,1536,1536,2,10523748.781250,42,1,128,4,0.492188,1.06194,1000,3072,1,
11477203.718750,1,1,67584,119.055,179.059,1077478.968750,4608,13,2,13,0,0.812702,64,12480,1,47,1500,126,4,356976.750000,4,17,1,0,6004,44352,2304,2304,2,11480575.812500,42,1,128,6,0.65625,0.812799,1000,4608,1,
11326327.062500,1,1,90112,109.858,146.868,944999.781250,6144,13,2,13,0,0.880792,64,15600,1,47,1000,126,6,330783.031250,4,17,1,0,6004,66528,3072,3072,2,11332434.937500,42,1,128,8,0.738281,0.880845,1000,6144,1,
11516329.181818,1,1,25344,63.572,217.67,2077781.909091,1152,13,2,13,0,1.52214,64,3264,1,214,3000,28,2,1086718.909091,4,17,1,0,6006,7392,1152,576,3,11523116.227273,42,1,32,6,0.291667,1.52218,1000,2304,1,
12875506.181818,1,1,33792,92.9126,212.088,1355921.272727,1536,13,2,13,0,1.04145,64,4080,1,214,1500,28,4,822462.863636,4,17,1,0,6006,14784,1536,768,3,12881031.818182,42,1,32,8,0.4375,1.0415,1000,3072,1,
12717578.000000,1,1,42240,110.097,209.429,1143570.272727,1920,13,2,13,0,0.878879,64,4896,1,214,1000,28,6,671354.454545,4,17,1,0,6006,22176,1920,960,3,12722898.863636,42,1,32,10,0.525,0.878932,1000,3840,1,
12505263.681818,1,1,50688,120.784,206.782,1036975.909091,2304,13,2,13,0,0.801094,64,5712,1,214,750,28,8,596811.227273,4,17,1,0,6006,29568,2304,1152,3,12511286.863636,42,1,32,12,0.583333,0.801165,1000,4608,1,
11254445.045455,1,1,50688,65.8863,210.836,2179650.045455,2304,13,2,13,0,1.46867,64,6336,1,100,3000,60,2,873947.045455,4,17,1,0,6006,15840,2304,1152,3,11264341.545455,42,1,64,6,0.3125,1.46871,1000,4608,1,
12682365.727273,1,1,67584,95.0326,202.736,1458708.045455,3072,13,2,13,0,1.01821,64,7920,1,100,1500,60,4,577288.181818,4,17,1,0,6006,31680,3072,1536,3,12689519.954545,42,1,64,8,0.46875,1.01826,1000,6144,1,
12540024.454545,1,1,84480,105.889,188.247,1220442.454545,3840,13,2,13,0,0.91381,64,9504,1,100,1000,60,6,476031.045455,4,17,1,0,6006,47520,3840,1920,3,12547010.954545,42,1,64,10,0.5625,0.913863,1000,7680,1,
12312994.136364,1,1,101376,117.534,188.054,1103940.409091,4608,13,2,13,0,0.823264,64,11088,1,100,750,60,8,422738.318182,4,17,1,0,6006,63360,4608,2304,3,12318220.363636,42,1,64,12,0.625,0.823319,1000,9216,1,
