Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
344064,1766685.390625,1,1,0,84.4404,241944.671875,1,5376,7,3,64,49152,344064,0.10722,1024,1,5760,24,12,32,86029.093750,4,15,1,84.4404,194,8,9,0,768,1,2817720320,7,0,20,8,16,6,1,0.107291,1000,0,1767046.093750,192,200,1,14,
114688,2042436.343750,1,1,0,75.8578,224152.125000,1,1792,7,3,64,49152,114688,0.119359,1024,1,2880,96,12,24,104503.593750,4,15,1,75.8578,194,8,18,0,256,1,2817720320,7,0,20,2,16,8,1,0.11943,1000,0,2041856.984375,192,200,1,14,
229376,1905423.484375,1,1,0,84.3838,241712.906250,1,3584,7,3,64,49152,229376,0.107294,1024,1,4320,48,12,24,86511.296875,4,15,1,84.3838,194,8,12,0,512,1,2817720320,7,0,20,4,16,8,1,0.107363,1000,0,1905485.953125,192,200,1,14,
344064,1817987.500000,1,1,0,85.7365,242658.968750,1,5376,7,3,64,49152,344064,0.105596,1024,1,5760,32,12,24,85490.968750,4,15,1,85.7365,194,8,9,0,768,1,2817720320,7,0,20,6,16,8,1,0.105669,1000,0,1817701.078125,192,200,1,14,
458752,1778821.703125,1,1,0,65.5745,227531.000000,1,7168,7,3,64,49152,458752,0.138089,1024,1,7200,24,12,24,100399.156250,4,15,1,65.5745,194,8,7,0,1024,1,2817720320,7,0,20,8,16,8,1,0.138159,1000,0,1779285.843750,192,200,1,14,
86016,1870401.531250,1,1,0,77.4929,241576.968750,1,1344,7,3,64,49152,86016,0.116839,1024,1,2496,48,8,96,85556.875000,4,15,1,77.4929,194,8,20,0,192,1,2817720320,7,0,20,4,24,2,1,0.11691,1000,0,1870613.328125,192,200,1,14,
129024,1769588.687500,1,1,0,75.6128,245659.906250,1,2016,7,3,64,49152,129024,0.119741,1024,1,3328,32,8,96,82254.093750,4,15,1,75.6128,194,8,15,0,288,1,2817720320,7,0,20,6,24,2,1,0.119817,1000,0,1769465.000000,192,200,1,14,
172032,1715907.125000,1,1,0,78.1634,247671.765625,1,2688,7,3,64,49152,172032,0.115836,1024,1,4160,24,8,96,80239.546875,4,15,1,78.1634,194,8,12,0,384,1,2817720320,7,0,20,8,24,2,1,0.115907,1000,0,1715935.781250,192,200,1,14,
86016,2007732.656250,1,1,0,75.3851,236416.109375,1,1344,7,3,64,49152,86016,0.12011,1024,1,2496,96,8,48,88364.234375,4,15,1,75.3851,194,8,20,0,192,1,2817720320,7,0,20,2,24,4,1,0.120179,1000,0,1992355.203125,192,200,1,14,
172032,1878688.578125,1,1,0,75.922,255861.250000,1,2688,7,3,64,49152,172032,0.119258,1024,1,3744,48,8,48,71922.765625,4,15,1,75.922,194,8,14,0,384,1,2817720320,7,0,20,4,24,4,1,0.119329,1000,0,1878461.937500,192,200,1,14,
