Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
344064,9946617.812500,3,1,0,47.4461,12813029.937500,1,5376,5,3,64,49152,10752,2.34541,1024,4,5600,99,99,33,6331815.000000,4,20,1,1.48269,206,8,9,2304,768,4,2817720320,7,0,7,8,8,4,0.03125,2.34543,1000,16128,9959560.312500,198,200,1,14,
516096,9152344.750000,3,1,0,47.4044,6523841.875000,1,8064,5,3,64,49152,21504,1.60533,1024,4,8000,96,96,16,6500955.937500,4,20,1,1.97518,200,8,7,3456,1152,4,2817720320,7,0,7,8,8,6,0.0416667,1.60537,1000,24192,9161256.000000,192,200,1,14,
688128,10184568.625000,3,1,0,42.4282,6368757.562500,1,10752,5,3,64,49152,32256,1.74851,1024,4,10400,99,99,11,6413026.625000,4,20,1,1.98882,206,8,5,4608,1536,4,2817720320,7,0,7,8,8,8,0.046875,1.74855,1000,32256,10195809.125000,198,200,1,14,
688128,6528053.625000,3,1,0,71.1024,1967622.562500,1,10752,5,3,64,49152,53760,0.470293,1024,4,10080,90,18,30,1490586.437500,4,20,1,5.55488,188,8,5,4608,1536,4,2817720320,7,0,7,8,16,4,0.078125,0.47035,1000,32256,6525560.437500,180,200,1,14,
1032192,6550111.937500,3,1,0,66.0745,1168206.250000,1,16128,5,3,64,49152,107520,0.379548,1024,4,14400,90,18,15,1424686.062500,4,20,1,6.88276,188,8,4,6912,2304,4,2817720320,7,0,7,8,16,6,0.104167,0.379606,1000,48384,6557206.062500,180,200,1,14,
1376256,6662314.687500,3,1,0,53.0053,863905.312500,1,21504,5,3,64,49152,161280,0.420574,1024,4,18720,90,18,10,1428916.062500,4,20,1,6.21156,188,8,3,9216,3072,4,2817720320,7,0,7,8,16,8,0.117188,0.420625,1000,64512,6657125.562500,180,200,1,14,
1032192,8898655.812500,3,1,0,69.7792,2226817.250000,1,16128,5,3,64,49152,96768,0.531532,1024,4,14560,99,11,33,1608136.250000,4,20,1,6.5418,206,8,4,6912,2304,4,2817720320,7,0,7,8,24,4,0.09375,0.531589,1000,48384,8901410.375000,198,200,1,14,
57344,2605044.703125,4,1,0,19.3713,365869.437500,1,896,5,3,64,49152,57344,0.18495,1024,1,1600,100,25,25,253460.906250,4,20,1,19.3713,202,8,31,0,128,1,2817720320,7,0,7,2,8,2,1,0.185016,1000,0,2604689.500000,200,200,1,14,
114688,2346783.734375,4,1,0,18.4647,303524.562500,1,1792,5,3,64,49152,114688,0.194037,1024,1,2400,50,25,25,310954.187500,4,20,1,18.4647,202,8,21,0,256,1,2817720320,7,0,7,4,8,2,1,0.1941,1000,0,2348250.296875,200,200,1,14,
172032,1970505.156250,4,1,0,17.0764,236980.015625,1,2688,5,3,64,49152,172032,0.185625,1024,1,3200,32,24,24,303088.468750,4,20,1,17.0764,194,8,16,0,384,1,2817720320,7,0,7,6,8,2,1,0.185689,1000,0,1972712.843750,192,200,1,14,
