Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
43008,1,1,3,98.0789,1,672,5,3,64,49152,43008,0,0.0322689,1024,1,1664,96,8,96,Tesla C2050,4,11,1,98.0789,194,8,30,0,96,1,2817720320,7,0,7,2,24,2,1,0.03233,1000,0,192,7,200,1,14,
86016,1,1,3,99.0998,1,1344,5,3,64,49152,86016,0,0.0319285,1024,1,2496,48,8,96,Tesla C2050,4,11,1,99.0998,194,8,20,0,192,1,2817720320,7,0,7,4,24,2,1,0.031997,1000,0,192,7,200,1,14,
129024,1,1,3,98.7731,1,2016,5,3,64,49152,129024,0,0.0320323,1024,1,3328,32,8,96,Tesla C2050,4,11,1,98.7731,194,8,15,0,288,1,2817720320,7,0,7,6,24,2,1,0.0321028,1000,0,192,7,200,1,14,
172032,1,1,3,99.1153,1,2688,5,3,64,49152,172032,0,0.031927,1024,1,4160,24,8,96,Tesla C2050,4,11,1,99.1153,194,8,12,0,384,1,2817720320,7,0,7,8,24,2,1,0.031992,1000,0,192,7,200,1,14,
86016,1,1,3,99.1028,1,1344,5,3,64,49152,86016,0,0.0319283,1024,1,2496,96,8,48,Tesla C2050,4,11,1,99.1028,194,8,20,0,192,1,2817720320,7,0,7,2,24,4,1,0.031996,1000,0,192,7,200,1,14,
172032,1,1,3,99.0902,1,2688,5,3,64,49152,172032,0,0.0319338,1024,1,3744,48,8,48,Tesla C2050,4,11,1,99.0902,194,8,14,0,384,1,2817720320,7,0,7,4,24,4,1,0.0320001,1000,0,192,7,200,1,14,
258048,1,1,3,98.5944,1,4032,5,3,64,49152,258048,0,0.0320921,1024,1,4992,32,8,48,Tesla C2050,4,11,1,98.5944,194,8,10,0,576,1,2817720320,7,0,7,6,24,4,1,0.032161,1000,0,192,7,200,1,14,
344064,1,1,3,99.6448,1,5376,5,3,64,49152,344064,0,0.0317587,1024,1,6240,24,8,48,Tesla C2050,4,11,1,99.6448,194,8,8,0,768,1,2817720320,7,0,7,8,24,4,1,0.031822,1000,0,192,7,200,1,14,
129024,1,1,3,98.7819,1,2016,5,3,64,49152,129024,0,0.0320359,1024,1,3328,96,8,32,Tesla C2050,4,11,1,98.7819,194,8,15,0,288,1,2817720320,7,0,7,2,24,6,1,0.0321,1000,0,192,7,200,1,14,
258048,1,1,3,98.732,1,4032,5,3,64,49152,258048,0,0.0320505,1024,1,4992,48,8,32,Tesla C2050,4,11,1,98.732,194,8,10,0,576,1,2817720320,7,0,7,4,24,6,1,0.0321162,1000,0,192,7,200,1,14,
387072,1,1,3,70.9151,1,6048,5,3,64,49152,387072,0,0.0446495,1024,1,6656,32,8,32,Tesla C2050,4,11,1,70.9151,194,8,8,0,864,1,2817720320,7,0,7,6,24,6,1,0.044714,1000,0,192,7,200,1,14,
172032,1,1,3,99.0998,1,2688,5,3,64,49152,172032,0,0.0319313,1024,1,4160,96,8,24,Tesla C2050,4,11,1,99.0998,194,8,12,0,384,1,2817720320,7,0,7,2,24,8,1,0.031997,1000,0,192,7,200,1,14,
344064,1,1,3,99.6291,1,5376,5,3,64,49152,344064,0,0.0317604,1024,1,6240,48,8,24,Tesla C2050,4,11,1,99.6291,194,8,8,0,768,1,2817720320,7,0,7,4,24,8,1,0.031827,1000,0,192,7,200,1,14,
57344,1,1,3,98.0492,1,896,5,3,64,49152,57344,0,0.0322757,1024,1,2176,96,6,96,Tesla C2050,4,11,1,98.0492,194,8,23,0,128,1,2817720320,7,0,7,2,32,2,1,0.0323398,1000,0,192,7,200,1,14,
114688,1,1,3,98.8435,1,1792,5,3,64,49152,114688,0,0.0320159,1024,1,3264,48,6,96,Tesla C2050,4,11,1,98.8435,194,8,16,0,256,1,2817720320,7,0,7,4,32,2,1,0.0320799,1000,0,192,7,200,1,14,
172032,1,1,3,99.091,1,2688,5,3,64,49152,172032,0,0.0319349,1024,1,4352,32,6,96,Tesla C2050,4,11,1,99.091,194,8,12,0,384,1,2817720320,7,0,7,6,32,2,1,0.0319998,1000,0,192,7,200,1,14,
229376,1,1,3,98.9546,1,3584,5,3,64,49152,229376,0,0.0319791,1024,1,5440,24,6,96,Tesla C2050,4,11,1,98.9546,194,8,10,0,512,1,2817720320,7,0,7,8,32,2,1,0.0320439,1000,0,192,7,200,1,14,
114688,1,1,3,98.8648,1,1792,5,3,64,49152,114688,0,0.032008,1024,1,3264,96,6,48,Tesla C2050,4,11,1,98.8648,194,8,16,0,256,1,2817720320,7,0,7,2,32,4,1,0.032073,1000,0,192,7,200,1,14,
